district,school,county,grades,students,teachers,calworks,lunch,computer,expenditure,income,english,read,math
71795,Allensworth Elementary,Tulare,KK-08,103,5,22.429899215698242,98.13079833984375,25,6567.1494140625,5.335000038146973,42.71844482421875,612.79998779296875,619.79998779296875
72181,Sunnyside Union Elementary,TULARE,KK-08,487,24.34000015258789,24.609399795532227,77.14839935302734,0,4818.61279296875,8.279000282287598,20.53388023376465,610,622.5999755859375
72298,Woodville Elementary,tulare,KK-08,649,36,14.637900352478027,76.27120208740234,31,5621.4560546875,9.630000114440918,80.123260498046875,611.9000244140625,621
72041,Pixley Union Elementary,TULARE,KK-08,852,42.06999969482422,24.21419906616211,94.29570007324219,80,6026.35986328125,7.453999996185303,49.413143157958984,614.79998779296875,619.9000244140625
72058,Pleasant View Elementary,tulare,KK-08,475,21,21.649499893188477,91.54640197753906,53,4542.10498046875,9.630000114440918,16.210525512695313,619.9000244140625,622.9000244140625
71811,Alta Vista Elementary,tulare,KK-08,476,19,43.855899810791016,100,0,4659.66162109375,9.630000114440918,39.07563018798828,620.70001220703125,623.4000244140625
72272,Woodlake Union Elementary,Tulare,KK-08,1588,85,22.40719985961914,85.14720153808594,198,5415.15283203125,8.52299976348877,40.49118423461914,625,621.20001220703125
72199,Terra Bella Union Elementary,tulare,KK-08,847,44,16.292800903320313,90.20069885253906,67,5139.16455078125,8.934000015258789,55.962215423583984,620.0999755859375,627.0999755859375
72215,Tipton Elementary,TULARE,KK-08,452,22,14.498900413513184,81.02349853515625,55,4614.251953125,8.553999900817871,11.061946868896484,627.9000244140625,620.4000244140625
72157,Strathmore Union Elementary,TULARE,KK-08,723,37.119998931884766,25.921100616455078,83.15789794921875,45,4692.49365234375,8.279000282287598,36.92946243286133,629.20001220703125,636.70001220703125
72033,Palo Verde Union Elementary,Tulare,KK-08,499,20,23.699399948120117,80.924896240234375,35,4079.129150390625,10.097999572753906,5.010019779205322,636.0999755859375,637.9000244140625
72017,Oak Valley Union Elementary,Tulare,KK-08,354,17.799999237060547,10.277799606323242,59.722198486328125,28,4663.81103515625,10.097999572753906,9.887005805969238,636.70001220703125,639.29998779296875
71985,Liberty Elementary,Tulare,KK-08,239,12.199999809265137,15.611800193786621,69.62030029296875,30,4441.6728515625,14.065999984741211,8.78661060333252,644.9000244140625,636.9000244140625
71969,Kings River Union Elementary,TULARE,KK-08,474,26.610000610351563,20.675100326538086,82.06749725341797,96,4945.03173828125,11.23799991607666,35.44303894042969,638.9000244140625,644.70001220703125
71910,Exeter Union Elementary,tulare,KK-08,1987,103.37000274658203,15.281200408935547,54.65409851074219,283,4757.025390625,11.182999610900879,15.349774360656738,637,647.4000244140625
71837,Burton Elementary,Tulare,KK-08,2208,114.5,14.413999557495117,53.210601806640625,92,4960.515625,9.630000114440918,9.873188018798828,642,644.0999755859375
72231,Tulare City Elementary,Tulare,KK-08,7210,360.3500061035156,26.626800537109375,68.85790252685547,800,5158.7919921875,10.097999572753906,15.187239646911621,642.5,651.5999755859375
72090,Rockford  Elementary,Tulare,KK-08,324,15.399999618530273,13.003100395202637,58.20429992675781,50,4276.115234375,9.630000114440918,2.4691357612609863,647,655.9000244140625
71829,Buena Vista Elementary,Tulare,KK-08,156,6.050000190734863,10.429400444030762,47.85279846191406,7,3926.069580078125,10.097999572753906,9.615385055541992,659.79998779296875,648.5999755859375
72173,Sundale Union Elementary,Tulare,KK-08,546,27.600000381469727,13.919400215148926,54.76190185546875,60,4777.76904296875,10.097999572753906,13.7362642288208,659.79998779296875,660.5999755859375
72207,Three Rivers Union Elementary,Tulare,KK-08,248,11.119999885559082,7.462699890136719,21.268699645996094,51,4302.8349609375,15.364999771118164,0,667.79998779296875,652.79998779296875
71852,Columbine Elementary,tulare,KK-08,160,8,11.25,56.875,39,4138.3056640625,7.5,9.375,651.4000244140625,673.4000244140625
72132,Springville Union Elementary,Tulare,KK-08,400,22,13.80090045928955,29.864299774169922,65,5478.845703125,15.751999855041504,0,669.20001220703125,666
72108,Saucelito Elementary,tulare,KK-08,118,5.5,8.33329963684082,51.66669845581055,10,4451.2568359375,8.934000015258789,7.6271185874938965,668.5,669.0999755859375
